VendorID;lpep_pickup_datetime;lpep_dropoff_datetime;store_and_fwd_flag;RatecodeID;PULocationID;DOLocationID;passenger_count;trip_distance;fare_amount;extra;mta_tax;tip_amount;tolls_amount;ehail_fee;improvement_surcharge;total_amount;payment_type;trip_type;congestion_surcharge
2;2020-05-01 07:12:00;2020-05-01 07:33:00;;;96;53;;9.7;35.29;0.0;0.0;2.75;0.0;;0.3;38.34;;;
2;2020-05-01 07:12:00;2020-05-01 07:30:00;;;171;185;;9.06;24.77;0.0;0.0;0.0;6.12;;0.3;31.19;;;
2;2020-05-01 07:12:16;2020-05-01 07:14:41;N;1.0;41;74;1.0;0.42;4.0;0.0;0.5;0.0;0.0;;0.3;4.8;1.0;1.0;0.0
2;2020-05-01 07:13:00;2020-05-01 07:39:00;;;165;188;;2.61;11.08;0.0;0.0;0.0;0.0;;0.3;11.38;;;
2;2020-05-01 07:13:00;2020-05-01 07:29:00;;;193;159;;6.68;23.07;0.0;0.0;0.0;6.12;;0.3;29.49;;;
2;2020-05-01 07:13:00;2020-05-01 07:34:00;;;3;159;;9.41;28.64;0.0;0.0;0.0;0.0;;0.3;28.94;;;
2;2020-05-01 07:13:53;2020-05-01 07:23:29;N;1.0;75;119;1.0;3.95;12.5;0.0;0.5;0.0;0.0;;0.3;13.3;2.0;1.0;0.0
2;2020-05-01 07:14:00;2020-05-01 07:31:00;;;95;137;;6.67;24.75;0.0;0.5;0.0;6.12;;0.3;34.17;;;
2;2020-05-01 07:14:00;2020-05-01 07:42:00;;;55;71;;8.37;33.69;0.0;0.0;0.0;0.0;;0.3;33.99;;;
2;2020-05-01 07:14:30;2020-05-01 07:29:24;N;1.0;74;244;1.0;3.26;13.5;0.0;0.5;3.58;0.0;;0.3;17.88;1.0;1.0;0.0
2;2020-05-01 07:15:00;2020-05-01 07:39:00;;;166;3;;10.87;30.49;0.0;0.0;0.0;0.0;;0.3;30.79;;;
2;2020-05-01 07:15:45;2020-05-01 07:17:08;N;1.0;116;116;1.0;0.32;3.0;0.0;0.5;1.5;0.0;;0.3;5.3;1.0;1.0;0.0
1;2020-05-01 07:15:58;2020-05-01 07:17:26;N;1.0;75;75;1.0;0.5;3.5;0.0;0.5;0.0;0.0;;0.3;4.3;2.0;1.0;0.0
2;2020-05-01 07:16:00;2020-05-01 07:54:00;;;159;35;;18.52;50.77;0.0;0.0;0.0;6.12;;0.3;57.19;;;
2;2020-05-01 07:16:00;2020-05-01 07:40:00;;;42;66;;13.99;34.39;0.0;0.0;0.0;6.12;;0.3;40.81;;;
2;2020-05-01 07:17:00;2020-05-01 07:33:00;;;136;75;;7.91;21.35;0.0;0.0;0.0;6.12;;0.3;27.77;;;
2;2020-05-01 07:17:00;2020-05-01 07:32:00;;;3;174;;3.51;13.36;0.0;0.0;0.0;0.0;;0.3;13.66;;;
2;2020-05-01 07:17:00;2020-05-01 07:46:00;;;77;137;;9.77;48.2;0.0;0.0;0.0;0.0;;0.3;51.25;;;
2;2020-05-01 07:17:00;2020-05-01 07:39:00;;;129;137;;6.55;21.95;0.0;0.0;0.0;0.0;;0.3;25.0;;;
1;2020-05-01 07:17:56;2020-05-01 07:20:48;N;1.0;75;263;1.0;0.6;4.5;2.75;0.5;0.0;0.0;;0.3;8.05;2.0;1.0;2.75
2;2020-05-01 07:18:00;2020-05-01 07:56:00;;;63;75;;17.17;49.1;0.0;0.0;0.0;6.12;;0.3;55.52;;;
2;2020-05-01 07:18:00;2020-05-01 07:53:00;;;265;17;;20.73;54.02;0.0;0.0;0.0;6.12;;0.3;60.44;;;
2;2020-05-01 07:18:53;2020-05-01 07:22:15;N;1.0;75;74;1.0;0.84;5.0;0.0;0.5;0.0;0.0;;0.3;5.8;2.0;1.0;0.0
2;2020-05-01 07:21:29;2020-05-01 07:44:22;N;1.0;65;71;3.0;4.53;18.0;0.0;0.5;0.0;0.0;;0.3;18.8;1.0;1.0;0.0
2;2020-05-01 07:22:00;2020-05-01 07:58:00;;;191;75;;18.11;50.41;0.0;0.0;0.0;6.12;;0.3;56.83;;;
1;2020-05-01 07:22:12;2020-05-01 07:37:20;N;1.0;42;238;1.0;0.0;17.2;0.0;0.5;0.0;0.0;;0.3;18.0;1.0;1.0;0.0
2;2020-05-01 07:23:00;2020-05-01 07:45:00;;;94;82;;10.8;32.44;0.0;0.0;0.0;6.12;;0.3;38.86;;;
2;2020-05-01 07:23:32;2020-05-01 07:30:15;N;1.0;74;42;1.0;3.1;10.5;0.0;0.5;1.0;0.0;;0.3;12.3;1.0;1.0;0.0
2;2020-05-01 07:24:00;2020-05-01 07:41:00;;;116;174;;7.37;29.4;0.0;0.0;0.0;0.0;;0.3;29.7;;;
2;2020-05-01 07:24:00;2020-05-01 07:50:00;;;177;234;;7.76;27.15;0.0;0.0;2.75;0.0;;0.3;30.2;;;
1;2020-05-01 07:24:11;2020-05-01 07:26:53;N;1.0;213;213;1.0;0.0;12.2;0.0;0.5;0.0;0.0;;0.3;13.0;1.0;1.0;0.0
2;2020-05-01 07:26:00;2020-05-01 07:40:00;;;91;188;;3.1;12.43;0.0;0.0;0.0;0.0;;0.3;12.73;;;
2;2020-05-01 07:26:00;2020-05-01 07:32:00;;;235;220;;2.21;8.66;0.0;0.0;2.75;0.0;;0.3;11.71;;;
2;2020-05-01 07:26:50;2020-05-01 07:31:52;N;1.0;74;75;1.0;1.24;6.0;0.0;0.5;1.36;0.0;;0.3;8.16;1.0;1.0;0.0
2;2020-05-01 07:27:00;2020-05-01 07:43:00;;;241;159;;4.55;15.25;0.0;0.0;0.0;0.0;;0.3;15.55;;;
2;2020-05-01 07:27:00;2020-05-01 07:49:00;;;61;137;;8.12;24.13;0.0;0.0;0.0;0.0;;0.3;27.18;;;
2;2020-05-01 07:27:33;2020-05-01 07:33:08;N;1.0;74;75;1.0;1.16;6.0;0.0;0.5;2.04;0.0;;0.3;8.84;1.0;1.0;0.0
1;2020-05-01 07:27:57;2020-05-01 07:41:17;N;1.0;74;140;1.0;3.8;14.0;2.75;0.5;0.0;0.0;;0.3;17.55;2.0;1.0;2.75
2;2020-05-01 07:28:00;2020-05-01 07:48:00;;;146;82;;3.16;12.83;0.0;0.0;0.0;0.0;;0.3;13.13;;;
2;2020-05-01 07:28:00;2020-05-01 07:41:00;;;241;42;;5.25;16.67;0.0;0.0;0.0;0.0;;0.3;16.97;;;
1;2020-05-01 07:28:56;2020-05-01 07:46:25;N;1.0;102;36;1.0;0.0;17.2;0.0;0.5;0.0;0.0;;0.3;18.0;1.0;1.0;0.0
2;2020-05-01 07:29:00;2020-05-01 07:48:00;;;72;29;;9.48;29.79;0.0;0.0;0.0;0.0;;0.3;30.09;;;
2;2020-05-01 07:29:00;2020-05-01 07:51:00;;;243;82;;9.36;28.49;0.0;0.0;0.0;6.12;;0.3;34.91;;;
1;2020-05-01 07:29:05;2020-05-01 07:30:34;N;1.0;75;75;1.0;0.6;3.5;0.0;0.5;0.85;0.0;;0.3;5.15;1.0;1.0;0.0
2;2020-05-01 07:29:24;2020-05-01 07:32:50;N;1.0;166;42;1.0;0.57;4.5;0.0;0.5;1.06;0.0;;0.3;6.36;1.0;1.0;0.0
2;2020-05-01 07:30:00;2020-05-01 08:07:00;;;188;236;;13.38;43.8;0.0;0.0;0.0;0.0;;0.3;46.85;;;
2;2020-05-01 07:30:03;2020-05-01 07:37:24;N;1.0;74;236;1.0;2.53;9.0;0.0;0.5;0.0;0.0;;0.3;12.55;2.0;1.0;2.75
2;2020-05-01 07:30:07;2020-05-01 07:34:53;N;1.0;41;151;1.0;0.71;5.5;0.0;0.5;0.0;0.0;;0.3;6.3;2.0;1.0;0.0
2;2020-05-01 07:30:22;2020-05-01 07:41:41;N;1.0;74;238;1.0;3.17;11.5;0.0;0.5;3.01;0.0;;0.3;18.06;1.0;1.0;2.75
2;2020-05-01 07:30:41;2020-05-01 07:34:46;N;1.0;74;75;1.0;0.96;5.5;0.0;0.5;0.0;0.0;;0.3;6.3;2.0;1.0;0.0
2;2020-05-01 07:31:00;2020-05-01 07:41:00;;;61;17;;2.42;10.23;0.0;0.0;0.0;0.0;;0.3;10.53;;;
2;2020-05-01 07:31:00;2020-05-01 07:51:00;;;226;159;;10.33;29.32;0.0;0.0;0.0;6.12;;0.3;35.74;;;
1;2020-05-01 07:31:23;2020-05-01 07:36:09;N;1.0;41;166;1.0;1.1;6.0;0.0;0.5;0.0;0.0;;0.3;6.8;2.0;1.0;0.0
2;2020-05-01 07:31:34;2020-05-01 07:45:23;N;1.0;42;126;1.0;3.03;13.0;0.0;0.5;4.14;0.0;;0.3;17.94;1.0;1.0;0.0
2;2020-05-01 07:31:44;2020-05-01 07:37:01;N;1.0;74;75;1.0;1.4;6.5;0.0;0.5;1.46;0.0;;0.3;8.76;1.0;1.0;0.0
2;2020-05-01 07:33:00;2020-05-01 08:04:00;;;129;37;;10.81;24.85;0.0;0.0;0.0;0.0;;0.3;27.9;;;
2;2020-05-01 07:33:00;2020-05-01 08:07:00;;;116;137;;7.89;25.43;0.0;0.0;0.0;0.0;;0.3;28.48;;;
2;2020-05-01 07:34:16;2020-05-01 07:48:30;N;1.0;116;143;1.0;4.39;15.0;0.0;0.5;0.0;0.0;;0.3;18.55;1.0;1.0;2.75
